agency_id,agency_name,agency_url,agency_timezone
"vvs-88","Eisemann","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-26","Friedrich Müller Omnibusunternehmen (FMO)","https://www.vvs.de/fahrplan/","Europe/Berlin"
"vvs-17","Arverio","https://www.vvs.de/fahrplan/","Europe/Berlin"
"rbs-FMO","LB","https://www.bahn.de/regiobusstuttgart/view/index.shtml","Europe/Berlin"
"hn-1","BürgerBus-Verein Eppingen e.V.","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-2","Bürgerbus Leingarten","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-3","Bürgerbus Bad Rappenau","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-4","Buergerbus Bad Wimpfen","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hn-13","Bürgerbus Nordheim","https://www.stadtwerke-heilbronn.de/swh/bus-und-bahn/","Europe/Berlin"
"hnv-03","SWEG Bahn Stuttgart","https://www.h3nv.de","Europe/Berlin"
"hnv-04","DB RegioNetz Verkehrs GmbH - Westfrankenbahn","https://www.h3nv.de","Europe/Berlin"
"hnv-19","Südwestdeutsche Landesverkehrs-GmbH (SWEG)","https://www.h3nv.de","Europe/Berlin"
"hnv-09","Arverio Baden-Württemberg","https://www.h3nv.de","Europe/Berlin"
"hnv-10","Stadtwerke Heilbronn - Verkehrsbetriebe","https://www.h3nv.de","Europe/Berlin"
"hnv-11","Nahverkehr Hohenlohekreis","https://www.h3nv.de","Europe/Berlin"
"hnv-30","City-Bus Künzelsau","https://www.h3nv.de","Europe/Berlin"
"hnv-24","Künzelsauer Bergbahn","https://www.h3nv.de","Europe/Berlin"
"hnv-12","DB Regiobus BW","https://www.h3nv.de","Europe/Berlin"
"hnv-32","Taxi Götz","https://www.h3nv.de","Europe/Berlin"
"hnv-15","Omnibus-Verkehr Ruoff GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-36","Huetter-Lidle Linienverkehr","https://www.h3nv.de","Europe/Berlin"
"hnv-23","Busverkehr Hofmann GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-25","Müller Reisen","https://www.h3nv.de","Europe/Berlin"
"hnv-27","Omnibusverkehr Zügel GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-21","Friedrich Gross OHG","https://www.h3nv.de","Europe/Berlin"
"hnv-22","Manuela Heinrich-Mauß Omnibusverkehr","https://www.h3nv.de","Europe/Berlin"
"hnv-35","Reisebüro Wöhrle GmbH","https://www.h3nv.de","Europe/Berlin"
"hnv-20","BB Omnibusverkehr UG","https://www.h3nv.de","Europe/Berlin"
"hnv-17","E.Zartmann GmbH & Co. KG","https://www.h3nv.de","Europe/Berlin"
"vrn-03","SWEG Landesverkehrs-GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-52","PalatinaBus","https://www.vrn.de","Europe/Berlin"
"vrn-17","Busverkehr Rhein-Neckar GmbH","https://www.vrn.de","Europe/Berlin"
"vrn-19","Regiobus Stuttgart","https://www.vrn.de","Europe/Berlin"
"vrn-90","VerkehrsGesellschaft Main-Tauber mbH (VGMT)","https://www.vrn.de","Europe/Berlin"
"kvv-01","Albtal-Verkehrs-Gesellschaft mbH","https://www.kvv.de","Europe/Berlin"
"kvv-40","Kraichtal Bus GbR","https://www.kvv.de","Europe/Berlin"
"vpe-1","Betrieb","http://www.vpe.de","Europe/Berlin"
"vsh-6008","RÖHLER Touristik GmbH","https://kreisverkehr-sha.de","Europe/Berlin"
"vsh-6007","Friedrich Müller Omnibusunternehmen GmbH","https://kreisverkehr-sha.de","Europe/Berlin"
"ddb-GA","Arverio Baden-Württemberg","http://www.nvbw.de","Europe/Berlin"
"Default","NVBW","http://www.nvbw.de","Europe/Berlin"
"ddb-V7","SVG Schienenverkehrsgesellschaft Stuttgart","http://www.nvbw.de","Europe/Berlin"
"ddb-SBS","DB Regio Stuttgart GmbH","http://www.nvbw.de","Europe/Berlin"
"ddb-00","DB AG","http://www.nvbw.de","Europe/Berlin"
"ddb-800603","DB RegioNetz Verkehrs GmbH Westfrankenbahn","http://www.nvbw.de","Europe/Berlin"
"bus-8533","FlixBus-de","https://www.flixbus.de/","Europe/Berlin"
