service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"Special","0","0","0","0","0","0","0","20250913","20260228"
"Special#2","0","0","0","0","0","0","0","20251206","20260228"
"Special#3","0","0","0","0","0","0","0","20250913","20260131"
"Special#4","0","0","0","0","0","0","0","20250907","20260201"
"Special#5","0","0","0","0","0","0","0","20250907","20260201"
"Special#6","0","0","0","0","0","0","0","20251201","20260227"
"Special#7","0","0","0","0","0","0","0","20260216","20260220"
"Special#8","0","0","0","0","0","0","0","20251201","20260227"
"Special#9","0","0","0","0","0","0","0","20250915","20260130"
"Special#10","0","0","0","0","0","0","0","20250908","20260105"
"Special#11","0","0","0","0","0","0","0","20250908","20260130"
"Special#12","0","0","0","0","0","0","0","20250907","20260228"
"Special#13","0","0","0","0","0","0","0","20250908","20260227"
"Special#14","0","0","0","0","0","0","0","20250915","20260227"
"Special#15","0","0","0","0","0","0","0","20250907","20260222"
"Special#16","0","0","0","0","0","0","0","20250915","20260226"
"Special#17","0","0","0","0","0","0","0","20250915","20251212"
"Special#18","0","0","0","0","0","0","0","20251215","20260227"
"Special#19","0","0","0","0","0","0","0","20250919","20260227"
"Special#20","0","0","0","0","0","0","0","20250915","20260226"
"Special#21","0","0","0","0","0","0","0","20250916","20260224"
"Special#22","0","0","0","0","0","0","0","20250908","20260220"
"Special#23","0","0","0","0","0","0","0","20250907","20251102"
"Special#24","0","0","0","0","0","0","0","20250908","20260228"
"Special#25","0","0","0","0","0","0","0","20251109","20260222"
"Special#26","0","0","0","0","0","0","0","20250908","20260228"
"Special#27","0","0","0","0","0","0","0","20250915","20260227"
"Special#28","0","0","0","0","0","0","0","20250908","20250912"
"Special#29","0","0","0","0","0","0","0","20250908","20251212"
"Special#30","0","0","0","0","0","0","0","20251215","20260227"
"Special#31","0","0","0","0","0","0","0","20250907","20251207"
"Special#32","0","0","0","0","0","0","0","20251214","20260222"
"Special#33","0","0","0","0","0","0","0","20250908","20251213"
"Special#34","0","0","0","0","0","0","0","20251215","20260228"
"Special#35","0","0","0","0","0","0","0","20250907","20251213"
"Special#36","0","0","0","0","0","0","0","20251214","20260228"
"Special#37","0","0","0","0","0","0","0","20250913","20251213"
"Special#38","0","0","0","0","0","0","0","20251220","20260228"
"Special#39","0","0","0","0","0","0","0","20250907","20251213"
"Special#40","0","0","0","0","0","0","0","20251214","20260228"
"Special#41","0","0","0","0","0","0","0","20251214","20260228"
