route_id,agency_id,route_short_name,route_long_name,route_type
"vvs-31-385-1","vvs-88","385","Wüstenrot - Sulzbach (M) (inkl. Räuberbus)","3"
"vvs-31-460-1","vvs-26","460","Beilstein - Oberstenfeld - Großbottwar - Steinheim (M) - Marbach (N)","3"
"vvs-31-460a-1","vvs-26","460A","Marbach (N) - Steinheim (M) - Großbottwar - Oberstenfeld - Beilstein","3"
"vvs-31-567-1","vvs-26","567","(Murr -) Pleidelsheim - Großingersheim - Bietigheim - Freudental - Hohenhaslach","3"
"vvs-31-572-1","vvs-26","572","Kirbachtal - Tripsdrill - Bietigheim (Fahrrad- & Wanderbus ''Stromer'')","3"
"vvs-31-X46-1","vvs-26","X46","Beilstein - Oberstenfeld - Großbottwar - Marbach (N)","3"
"vvs-34-046-1","vvs-26","N46","Marbach (N) - Großbottwar - Oberstenfeld - Gronau - Beilstein","3"
"vvs-34-046-2","vvs-26","N46","Marbach (N) - Großbottwar - Oberstenfeld - Gronau - Beilstein","3"
"vvs-36-018e-1","vvs-17","MEX18E","Tübingen - Nürtingen (Schienenersatzverkehr)","3"
"rbs-3-912-1","rbs-FMO","912","Verstärkerbusse im Schülerverkehr","3"
"rbs-3-912A-1","rbs-FMO","912","","3"
"hn-3-Nord-1","hn-1","Nordstadt-Linie","Nordstadt-Linie","3"
"hn-3-Sud-1","hn-1","Südstadt-Linie","Südstadt-Linie","3"
"hn-4-0No-1","hn-2","Nord","Nord","3"
"hn-4-Sue-1","hn-2","Süd","Süd","3"
"hn-5-001-1","hn-3","BürgerBus 1","Ringlinie Salinenklinik","3"
"hn-5-001-2","hn-3","BürgerBus 1","Ringlinie Salinenklinik","3"
"hn-6-BBB0-1","hn-4","BürgerBus","BBBW2","3"
"hn-6-BBB1-1","hn-4","BürgerBus","BBBW3","3"
"hn-6-BBBW-1","hn-4","BürgerBus","BBBW1_neu","3"
"hn-15-001-1","hn-13","Bürgerbus 1","Bürgerbus Nordheim","3"
"hn-15-002-1","hn-13","BürgerBus 1","Einsetzfahrt BB NH","3"
"hn-15-003-1","hn-13","BürgerBus 1","Aussetzfahrt BB NH","3"
"hnv-11-R18H-1","hnv-03","RB18","Heilbronn - Weinsberg - Öhringen","2"
"hnv-11-SEV-1","hnv-04","SEV","SEV RE80/RB83 Öhringen - Heilbronn","3"
"hnv-11-SEVR-1","hnv-19","SEV18","SEV MEX 18 Bad Friedrichshall - Osterburken","3"
"hnv-11-SRE-1","hnv-19","SEV10","Schienenersatzverkehr RE 10 Heilbronn - Bad Friedrichshall","3"
"hnv-11-SRE8-1","hnv-09","SEV8","SEV RE 8 Roigheim - Möckmühl","3"
"hnv-30-001E-1","hnv-10","1","Klingenberg - Böckingen - HBF - Harmonie - Pfühlpark - Rampachertal/ - Trappensee (-Jägerhaus - Waldheide)","3"
